epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7857,1.75673,2.3826,1.73906,0.34371,0.36502,0.27954,0.0727,2.57657,2.7002,2.20774,0.0667603,3.32729e-05,3.32729e-05
2,128.066,1.64637,1.92681,1.63497,0.39651,0.3457,0.29213,0.07998,2.56412,2.55913,2.27433,0.0334597,6.59469e-05,6.59469e-05
3,191.806,1.57596,1.70871,1.56681,0.24761,0.28095,0.18439,0.04036,2.65605,2.82664,2.36233,0.000158347,9.79608e-05,9.79608e-05
4,256.325,1.54165,1.63455,1.54356,0.34596,0.31731,0.27344,0.07381,2.56838,2.69422,2.25238,9.703e-05,9.703e-05,9.703e-05
5,324.23,1.5221,1.57351,1.52382,0.36517,0.35568,0.26878,0.08021,2.45039,2.53659,2.10101,9.604e-05,9.604e-05,9.604e-05
6,391.963,1.49316,1.50243,1.49732,0.44718,0.3329,0.31967,0.0897,2.54144,2.58629,2.18129,9.505e-05,9.505e-05,9.505e-05
7,459.928,1.49175,1.47176,1.4866,0.41973,0.3121,0.26673,0.0622,2.67645,2.65454,2.2827,9.406e-05,9.406e-05,9.406e-05
8,528.208,1.48607,1.45929,1.47726,0.41708,0.31103,0.28457,0.0742,2.63171,2.73862,2.23364,9.307e-05,9.307e-05,9.307e-05
9,596.501,1.45768,1.39803,1.463,0.44842,0.41427,0.35008,0.10867,2.46245,2.32776,2.09783,9.208e-05,9.208e-05,9.208e-05
10,664.777,1.44014,1.38533,1.44692,0.46629,0.44409,0.38052,0.12889,2.39295,2.25402,2.01125,9.109e-05,9.109e-05,9.109e-05
11,732.972,1.43819,1.36286,1.43869,0.44342,0.36989,0.33394,0.0975,2.54522,2.47762,2.14817,9.01e-05,9.01e-05,9.01e-05
12,801.13,1.42184,1.35054,1.42953,0.44372,0.39369,0.35319,0.10229,2.56665,2.30786,2.15909,8.911e-05,8.911e-05,8.911e-05
13,870.083,1.41855,1.32211,1.41912,0.41252,0.38986,0.33861,0.101,2.54031,2.44054,2.15385,8.812e-05,8.812e-05,8.812e-05
14,938.678,1.40463,1.30875,1.42175,0.34465,0.36004,0.26293,0.07158,2.61714,2.55891,2.20286,8.713e-05,8.713e-05,8.713e-05
15,1006.35,1.37721,1.28237,1.39617,0.37461,0.34864,0.27514,0.08003,2.62287,2.55634,2.21639,8.614e-05,8.614e-05,8.614e-05
16,1078.71,1.38122,1.28742,1.39481,0.34616,0.29796,0.23805,0.06183,2.6026,2.69763,2.21805,8.515e-05,8.515e-05,8.515e-05
17,1153.8,1.38445,1.26907,1.38764,0.35659,0.31473,0.22834,0.05743,2.66529,2.57998,2.30668,8.416e-05,8.416e-05,8.416e-05
18,1227.3,1.35727,1.23124,1.3809,0.30036,0.29543,0.21492,0.06923,2.41074,2.71937,2.06193,8.317e-05,8.317e-05,8.317e-05
19,1291.87,1.37125,1.23006,1.38568,0.42456,0.35871,0.30907,0.08832,2.60926,2.53246,2.19617,8.218e-05,8.218e-05,8.218e-05
20,1356.53,1.35274,1.21574,1.3687,0.35422,0.26322,0.22397,0.06817,2.5686,2.74744,2.16246,8.119e-05,8.119e-05,8.119e-05
21,1421.55,1.34688,1.20986,1.36849,0.44617,0.35694,0.3062,0.09205,2.59821,2.52778,2.21912,8.02e-05,8.02e-05,8.02e-05
22,1488.21,1.34451,1.19753,1.36851,0.37626,0.37475,0.28371,0.07933,2.60181,2.51015,2.23937,7.921e-05,7.921e-05,7.921e-05
23,1553.5,1.34291,1.17867,1.36966,0.51439,0.38987,0.34022,0.09162,2.61109,2.39683,2.21589,7.822e-05,7.822e-05,7.822e-05
24,1618.49,1.33344,1.17994,1.36184,0.51453,0.4092,0.39471,0.13153,2.42596,2.40702,2.04367,7.723e-05,7.723e-05,7.723e-05
25,1683.4,1.32891,1.18171,1.35868,0.40709,0.34365,0.28405,0.08684,2.49317,2.53987,2.11633,7.624e-05,7.624e-05,7.624e-05
26,1749.51,1.32558,1.17035,1.35185,0.43054,0.36879,0.30217,0.09027,2.52045,2.47991,2.12591,7.525e-05,7.525e-05,7.525e-05
27,1818.5,1.31441,1.14872,1.34783,0.44197,0.36771,0.33179,0.11564,2.40443,2.53279,2.00509,7.426e-05,7.426e-05,7.426e-05
28,1887.32,1.31136,1.14444,1.33833,0.41735,0.32594,0.28945,0.08607,2.53234,2.61869,2.11124,7.327e-05,7.327e-05,7.327e-05
29,1955.92,1.31672,1.13281,1.33756,0.51707,0.37719,0.35724,0.10543,2.54512,2.50383,2.14059,7.228e-05,7.228e-05,7.228e-05
30,2024.19,1.29666,1.12587,1.33288,0.41234,0.37912,0.30864,0.09062,2.48333,2.47372,2.09528,7.129e-05,7.129e-05,7.129e-05
31,2093.44,1.29684,1.11862,1.33437,0.46302,0.43688,0.35046,0.10812,2.48762,2.38048,2.07368,7.03e-05,7.03e-05,7.03e-05
32,2162.04,1.29534,1.11835,1.33338,0.43802,0.41187,0.34573,0.09735,2.54623,2.50842,2.14723,6.931e-05,6.931e-05,6.931e-05
33,2230.47,1.29313,1.10004,1.32347,0.39517,0.35178,0.29221,0.08742,2.54096,2.6067,2.13929,6.832e-05,6.832e-05,6.832e-05
34,2299.04,1.29251,1.09921,1.31959,0.55404,0.41713,0.42546,0.14609,2.34769,2.41096,1.9734,6.733e-05,6.733e-05,6.733e-05
35,2368.16,1.2845,1.0909,1.3218,0.49279,0.38487,0.36233,0.11963,2.45229,2.46468,2.03415,6.634e-05,6.634e-05,6.634e-05
36,2436.94,1.28049,1.08595,1.31682,0.49945,0.4059,0.36908,0.10902,2.51919,2.42474,2.13212,6.535e-05,6.535e-05,6.535e-05
37,2505.53,1.28396,1.08038,1.31929,0.44534,0.32734,0.2991,0.07959,2.63261,2.67,2.218,6.436e-05,6.436e-05,6.436e-05
38,2574.29,1.2784,1.08664,1.31225,0.50751,0.38821,0.3949,0.12332,2.45085,2.52788,2.05302,6.337e-05,6.337e-05,6.337e-05
39,2643.53,1.27301,1.08131,1.30959,0.53044,0.39888,0.39434,0.12012,2.47156,2.39016,2.07673,6.238e-05,6.238e-05,6.238e-05
40,2712.85,1.26792,1.08101,1.30648,0.55129,0.38657,0.40645,0.13452,2.39426,2.37561,1.96193,6.139e-05,6.139e-05,6.139e-05
41,2782.07,1.26227,1.06407,1.30062,0.4638,0.34102,0.33278,0.10132,2.53703,2.60729,2.10681,6.04e-05,6.04e-05,6.04e-05
42,2851.03,1.25696,1.05112,1.29094,0.47543,0.34592,0.32321,0.1025,2.47583,2.65063,2.04773,5.941e-05,5.941e-05,5.941e-05
43,2919.29,1.25813,1.04568,1.29629,0.44892,0.35679,0.31381,0.09676,2.51689,2.5337,2.09248,5.842e-05,5.842e-05,5.842e-05
44,2987.81,1.25886,1.04955,1.29269,0.51674,0.41654,0.38998,0.12642,2.45446,2.45927,2.02912,5.743e-05,5.743e-05,5.743e-05
45,3057.22,1.25547,1.05232,1.2944,0.45006,0.36882,0.33157,0.10061,2.53258,2.53007,2.11464,5.644e-05,5.644e-05,5.644e-05
46,3125.73,1.25552,1.04159,1.28986,0.45726,0.38763,0.34935,0.12144,2.42022,2.42672,1.99464,5.545e-05,5.545e-05,5.545e-05
47,3194.14,1.24798,1.03832,1.28702,0.46396,0.36829,0.34477,0.11247,2.49402,2.58341,2.0565,5.446e-05,5.446e-05,5.446e-05
48,3263.02,1.24162,1.02522,1.28388,0.52063,0.41218,0.36496,0.10719,2.57728,2.43773,2.15102,5.347e-05,5.347e-05,5.347e-05
49,3331.34,1.23748,1.01792,1.28567,0.48665,0.38303,0.37112,0.11242,2.5123,2.41624,2.07484,5.248e-05,5.248e-05,5.248e-05
50,3399.92,1.24982,1.02349,1.28836,0.45585,0.38028,0.33507,0.09888,2.52148,2.38352,2.09878,5.149e-05,5.149e-05,5.149e-05
51,3468.63,1.23894,1.02297,1.27898,0.45831,0.35354,0.34359,0.10821,2.45562,2.56955,2.01653,5.05e-05,5.05e-05,5.05e-05
52,3537.49,1.23771,1.01898,1.28089,0.45183,0.33583,0.28385,0.09083,2.45829,2.63754,2.06199,4.951e-05,4.951e-05,4.951e-05
53,3606.64,1.23582,1.02362,1.27557,0.50349,0.39224,0.38142,0.12322,2.43511,2.45911,2.00761,4.852e-05,4.852e-05,4.852e-05
54,3675.57,1.23682,1.01856,1.27973,0.47815,0.36005,0.32046,0.09997,2.51884,2.51393,2.09504,4.753e-05,4.753e-05,4.753e-05
55,3744.37,1.216,1.00857,1.26655,0.46789,0.35127,0.3231,0.1125,2.4215,2.54802,1.98413,4.654e-05,4.654e-05,4.654e-05
56,3813.54,1.22446,1.00012,1.27063,0.48504,0.33496,0.32724,0.10726,2.4773,2.62919,2.03949,4.555e-05,4.555e-05,4.555e-05
57,3882.47,1.22415,0.99754,1.27235,0.53902,0.33972,0.35907,0.1212,2.43817,2.46775,1.99009,4.456e-05,4.456e-05,4.456e-05
58,3951.44,1.22857,1.01295,1.27398,0.49031,0.38763,0.37256,0.13768,2.36277,2.40068,1.93925,4.357e-05,4.357e-05,4.357e-05
59,4020.36,1.23243,1.00046,1.26805,0.45773,0.33033,0.32959,0.11279,2.43085,2.56871,1.98841,4.258e-05,4.258e-05,4.258e-05
60,4089.28,1.2132,0.99381,1.26153,0.48842,0.41187,0.38168,0.13207,2.41403,2.36908,1.98134,4.159e-05,4.159e-05,4.159e-05
61,4158.53,1.20891,0.9872,1.26056,0.48001,0.3658,0.3589,0.11437,2.48076,2.45589,2.05162,4.06e-05,4.06e-05,4.06e-05
62,4228.56,1.22135,0.98181,1.25988,0.46551,0.38023,0.3525,0.1159,2.42393,2.41246,1.98832,3.961e-05,3.961e-05,3.961e-05
63,4297.35,1.21546,0.98534,1.26107,0.5098,0.3344,0.32391,0.10236,2.48239,2.48216,2.0451,3.862e-05,3.862e-05,3.862e-05
64,4366.47,1.20155,0.97788,1.2598,0.54408,0.3522,0.36736,0.11973,2.40973,2.46054,2.0067,3.763e-05,3.763e-05,3.763e-05
65,4435.43,1.20338,0.97176,1.26246,0.55768,0.37216,0.36012,0.12374,2.40632,2.43096,1.99968,3.664e-05,3.664e-05,3.664e-05
66,4504.91,1.20193,0.968,1.256,0.50562,0.37747,0.34734,0.10819,2.45892,2.44932,2.04261,3.565e-05,3.565e-05,3.565e-05
67,4574.49,1.20084,0.97119,1.26014,0.48943,0.3562,0.34519,0.12236,2.36628,2.53667,1.93883,3.466e-05,3.466e-05,3.466e-05
68,4643.97,1.20642,0.97641,1.25676,0.48847,0.36829,0.34479,0.10849,2.49536,2.50241,2.05325,3.367e-05,3.367e-05,3.367e-05
69,4713.14,1.19773,0.95992,1.2538,0.48679,0.37539,0.36262,0.11933,2.44002,2.5526,2.00199,3.268e-05,3.268e-05,3.268e-05
70,4782.98,1.19868,0.96386,1.25014,0.51889,0.38514,0.36052,0.11433,2.46708,2.45148,2.04757,3.169e-05,3.169e-05,3.169e-05
71,4852.8,1.19633,0.96854,1.24815,0.48896,0.3609,0.34162,0.11277,2.45673,2.56221,2.01903,3.07e-05,3.07e-05,3.07e-05
72,4922.34,1.18498,0.95597,1.2481,0.48648,0.40341,0.36626,0.12011,2.39603,2.44803,1.95158,2.971e-05,2.971e-05,2.971e-05
73,4991.11,1.18714,0.95402,1.24195,0.44762,0.36474,0.34103,0.11453,2.41078,2.5285,1.96668,2.872e-05,2.872e-05,2.872e-05
74,5060.58,1.19415,0.95741,1.2476,0.45983,0.37315,0.33934,0.09377,2.56553,2.51089,2.12648,2.773e-05,2.773e-05,2.773e-05
75,5129.45,1.1862,0.96581,1.24583,0.49269,0.40176,0.3726,0.119,2.44027,2.45545,1.98767,2.674e-05,2.674e-05,2.674e-05
76,5198.51,1.18565,0.94784,1.23953,0.4648,0.37288,0.3457,0.10644,2.4843,2.56366,2.03641,2.575e-05,2.575e-05,2.575e-05
77,5267.56,1.1829,0.95708,1.23938,0.46767,0.39414,0.36596,0.12452,2.40307,2.44846,1.96166,2.476e-05,2.476e-05,2.476e-05
78,5337.03,1.18336,0.95717,1.24319,0.47362,0.38433,0.34691,0.12162,2.43471,2.37589,2.00006,2.377e-05,2.377e-05,2.377e-05
79,5406.79,1.1732,0.93882,1.2368,0.52171,0.43568,0.40779,0.13516,2.4293,2.33168,1.98617,2.278e-05,2.278e-05,2.278e-05
80,5476,1.17948,0.95156,1.23682,0.49798,0.3906,0.3814,0.12889,2.42355,2.36724,1.97617,2.179e-05,2.179e-05,2.179e-05
81,5545.22,1.18619,0.95827,1.24044,0.4886,0.39498,0.37811,0.13092,2.40173,2.41728,1.9672,2.08e-05,2.08e-05,2.08e-05
82,5614.39,1.1644,0.93804,1.22973,0.48963,0.39418,0.37001,0.11981,2.45362,2.43269,2.0241,1.981e-05,1.981e-05,1.981e-05
83,5683.45,1.16339,0.93494,1.23004,0.49558,0.40835,0.37678,0.12586,2.42602,2.47474,2.00984,1.882e-05,1.882e-05,1.882e-05
84,5752.78,1.17677,0.93901,1.23801,0.54974,0.39743,0.38651,0.13229,2.40544,2.41505,1.97713,1.783e-05,1.783e-05,1.783e-05
85,5821.79,1.1736,0.93492,1.2368,0.57723,0.41248,0.41192,0.13541,2.4192,2.35493,1.99158,1.684e-05,1.684e-05,1.684e-05
86,5891.23,1.17147,0.93692,1.23877,0.56253,0.38006,0.39618,0.14335,2.3558,2.42992,1.93874,1.585e-05,1.585e-05,1.585e-05
87,5960.96,1.17086,0.93679,1.23279,0.53222,0.40862,0.39179,0.1372,2.38358,2.38072,1.95348,1.486e-05,1.486e-05,1.486e-05
88,6030.52,1.17146,0.93846,1.23674,0.56177,0.40053,0.40031,0.13522,2.41518,2.33227,1.9778,1.387e-05,1.387e-05,1.387e-05
89,6099.97,1.17276,0.94267,1.23497,0.57233,0.40626,0.40728,0.14099,2.39181,2.34923,1.96869,1.288e-05,1.288e-05,1.288e-05
90,6169.13,1.17208,0.93007,1.23864,0.58179,0.41019,0.40572,0.14041,2.39925,2.31877,1.97701,1.189e-05,1.189e-05,1.189e-05
91,6255.46,1.07766,0.74596,1.19181,0.57029,0.47711,0.46171,0.16471,2.3702,2.0464,1.97668,1.09e-05,1.09e-05,1.09e-05
92,6323.61,1.07564,0.73071,1.18794,0.57424,0.45884,0.44773,0.15638,2.36883,2.13776,1.96664,9.91e-06,9.91e-06,9.91e-06
93,6392.67,1.06635,0.73028,1.18401,0.54835,0.46456,0.44204,0.14493,2.40605,2.16675,2.00132,8.92e-06,8.92e-06,8.92e-06
94,6460.96,1.07326,0.73253,1.18996,0.57307,0.46996,0.4504,0.15326,2.36279,2.14934,1.95525,7.93e-06,7.93e-06,7.93e-06
95,6529.18,1.06456,0.72369,1.18889,0.55229,0.45979,0.44169,0.14676,2.39483,2.20359,1.98703,6.94e-06,6.94e-06,6.94e-06
96,6597.75,1.06033,0.7191,1.18109,0.56873,0.446,0.44154,0.1486,2.38328,2.22769,1.98123,5.95e-06,5.95e-06,5.95e-06
97,6666.51,1.05036,0.71933,1.18106,0.54914,0.46053,0.44545,0.14821,2.3886,2.21519,1.98454,4.96e-06,4.96e-06,4.96e-06
98,6735.16,1.05614,0.71958,1.17909,0.55596,0.46236,0.44439,0.15122,2.37439,2.21862,1.9682,3.97e-06,3.97e-06,3.97e-06
99,6804.03,1.06051,0.71075,1.18125,0.54959,0.45637,0.44215,0.14925,2.38087,2.23344,1.97558,2.98e-06,2.98e-06,2.98e-06
100,6872.87,1.0639,0.71517,1.1815,0.55014,0.46209,0.4437,0.15296,2.37116,2.23822,1.96703,1.99e-06,1.99e-06,1.99e-06
